Month Name,Month,Year,Query Count,Query Text,Month Num,Rank,Volume,Volume #,,,,,,,,
July,7,2021,8,john Honeysucker,7,235,,,,,,,,,,
July,7,2021,20,judgements,7,237,,,,,,,,,,
July,7,2021,13,landlord,7,237,,,,,,,,,,
July,7,2021,12,legal,7,237,,,,,,,,,,
July,7,2021,10,lentz,7,237,,,,,,,,,,
July,7,2021,79,library,7,237,,,,,,,,,,
July,7,2021,8,lien,7,242,,,,,,,,,,
July,7,2021,10,liens,7,242,,,,,,,,,,
July,7,2021,13,LIHEAP,7,242,,,,,,,,,,
July,7,2021,19,lisa butler,7,242,,,,,,,,,,
July,7,2021,17,Live streaming,7,246,,,,,,,,,,
July,7,2021,8,LLC,7,246,,,,,,,,,,
July,7,2021,11,log in,7,246,,,,,,,,,,
July,7,2021,16,login,7,246,,,,,,,,,,
July,7,2021,21,longevity,7,246,,,,,,,,,,
July,7,2021,9,Longevity pay,7,251,,,,,,,,,,
July,7,2021,14,look up online permit,7,251,,,,,,,,,,
July,7,2021,13,MAC,7,251,,,,,,,,,,
July,7,2021,8,Make a payment,7,251,,,,,,,,,,
July,7,2021,9,mandatory mask mandate,7,255,,,,,,,,,,
July,7,2021,26,map,7,255,,,,,,,,,,
July,7,2021,35,mapping,7,255,,,,,,,,,,
July,7,2021,143,MAPS,7,255,,,,,,,,,,
July,7,2021,32,Marriage,7,255,,,,,,,,,,
July,7,2021,8,Marriage certificate,7,255,,,,,,,,,,
July,7,2021,34,marriage license,7,255,,,,,,,,,,
July,7,2021,12,MATTRESS DISPOSAL,7,255,,,,,,,,,,
July,7,2021,9,mayor,7,255,,,,,,,,,,
July,7,2021,11,mdha,7,255,,,,,,,,,,
July,7,2021,9,Media release,7,265,,,,,,,,,,
July,7,2021,27,media releases,7,265,,,,,,,,,,
July,7,2021,31,metro action,7,265,,,,,,,,,,
July,7,2021,10,metro Action Commission,7,265,,,,,,,,,,
July,7,2021,22,metro clerk,7,269,,,,,,,,,,
July,7,2021,12,metro codes,7,269,,,,,,,,,,
July,7,2021,30,metro council,7,269,,,,,,,,,,
July,7,2021,13,Metro Holidays,7,269,,,,,,,,,,
July,7,2021,8,Metro parks,7,273,,,,,,,,,,
July,7,2021,16,metro pay plan,7,273,,,,,,,,,,
July,7,2021,9,Metro pay scale,7,273,,,,,,,,,,
July,7,2021,53,metro water,7,273,,,,,,,,,,
July,7,2021,13,metro water services,7,273,,,,,,,,,,
July,7,2021,12,minutes,7,273,,,,,,,,,,
July,7,2021,10,mnn,7,279,,,,,,,,,,
July,7,2021,11,MNPD,7,279,,,,,,,,,,
July,7,2021,8,MNPD records division,7,279,,,,,,,,,,
July,7,2021,8,mnps,7,279,,,,,,,,,,
July,7,2021,9,motorcycle,7,283,,,,,,,,,,
July,7,2021,66,Mugshots,7,283,,,,,,,,,,
July,7,2021,22,Name change,7,283,,,,,,,,,,
July,7,2021,23,Nashville,7,283,,,,,,,,,,
July,7,2021,14,naza,7,283,,,,,,,,,,
July,7,2021,13,Ndot,7,283,,,,,,,,,,
July,7,2021,17,new service,7,283,,,,,,,,,,
July,7,2021,59,notary,7,290,,,,,,,,,,
July,7,2021,16,notary application,7,290,,,,,,,,,,
July,7,2021,24,notary public,7,290,,,,,,,,,,
July,7,2021,15,Notary renewal,7,290,,,,,,,,,,
July,7,2021,8,Office of Minority and Women Business Assistance,7,290,,,,,,,,,,
July,7,2021,11,Omohundro,7,295,,,,,,,,,,
July,7,2021,20,open bids,7,295,,,,,,,,,,
July,7,2021,68,Open data,7,295,,,,,,,,,,
July,7,2021,14,oracle,7,295,,,,,,,,,,
July,7,2021,53,ordinance,7,299,,,,,,,,,,
July,7,2021,35,ordinances,7,299,,,,,,,,,,
July,7,2021,16,organizational chart,7,299,,,,,,,,,,
July,7,2021,8,Outage,7,299,,,,,,,,,,
July,7,2021,11,owner driver report,7,299,,,,,,,,,,
July,7,2021,9,owner driver report form,7,299,,,,,,,,,,
July,7,2021,16,Parcel map,7,299,,,,,,,,,,
July,7,2021,30,parcel viewer,7,299,,,,,,,,,,
July,7,2021,36,park,7,299,,,,,,,,,,
July,7,2021,20,parking,7,299,,,,,,,,,,
July,7,2021,46,Parks,7,309,,,,,,,,,,
July,7,2021,15,Parthenon,7,309,,,,,,,,,,
July,7,2021,38,passport,7,309,,,,,,,,,,
July,7,2021,73,pay,7,309,,,,,,,,,,
July,7,2021,63,Pay bill,7,309,,,,,,,,,,
July,7,2021,13,Pay my bill,7,309,,,,,,,,,,
July,7,2021,120,pay plan,7,309,,,,,,,,,,
July,7,2021,13,pay plan 2021,7,316,,,,,,,,,,
July,7,2021,42,PAY PROPERTY TAX,7,316,,,,,,,,,,
July,7,2021,40,pay property taxes,7,316,,,,,,,,,,
July,7,2021,61,pay scale,7,316,,,,,,,,,,
July,7,2021,12,pay stub,7,316,,,,,,,,,,
July,7,2021,12,pay table,7,316,,,,,,,,,,
July,7,2021,14,Pay water bill,7,316,,,,,,,,,,
July,7,2021,22,payment,7,316,,,,,,,,,,
July,7,2021,326,Payroll,7,316,,,,,,,,,,
July,7,2021,14,payscale,7,325,,,,,,,,,,
July,7,2021,16,paystub,7,325,,,,,,,,,,
July,7,2021,34,pension,7,325,,,,,,,,,,
July,7,2021,36,pension calculator,7,325,,,,,,,,,,
July,7,2021,13,Pension self service,7,325,,,,,,,,,,
July,7,2021,29,permit,7,325,,,,,,,,,,
July,7,2021,10,permit search,7,331,,,,,,,,,,
July,7,2021,96,permits,7,331,,,,,,,,,,
July,7,2021,33,Pickleball,7,331,,,,,,,,,,
July,7,2021,97,planning,7,334,,,,,,,,,,
July,7,2021,18,Planning Commission,7,334,,,,,,,,,,
July,7,2021,29,PLANNING DEPARTMENT,7,334,,,,,,,,,,
July,7,2021,127,police,7,334,,,,,,,,,,
July,7,2021,52,police department,7,334,,,,,,,,,,
July,7,2021,141,police report,7,334,,,,,,,,,,
July,7,2021,45,Police reports,7,334,,,,,,,,,,
July,7,2021,15,pool,7,334,,,,,,,,,,
July,7,2021,8,Power of attorney,7,342,,,,,,,,,,
July,7,2021,8,probate,7,342,,,,,,,,,,
July,7,2021,8,probate court,7,342,,,,,,,,,,
July,7,2021,70,procurement,7,342,,,,,,,,,,
July,7,2021,93,Property,7,342,,,,,,,,,,
July,7,2021,84,property assessor,7,342,,,,,,,,,,
July,7,2021,9,property lines,7,342,,,,,,,,,,
July,7,2021,11,Property map,7,342,,,,,,,,,,
July,7,2021,137,Property maps,7,342,,,,,,,,,,
July,7,2021,13,property owner,7,351,,,,,,,,,,
July,7,2021,8,Property ownership,7,351,,,,,,,,,,
July,7,2021,8,Property records,7,351,,,,,,,,,,
July,7,2021,38,property search,7,351,,,,,,,,,,
July,7,2021,98,property tax,7,351,,,,,,,,,,
July,7,2021,56,property tax records,7,351,,,,,,,,,,
July,7,2021,68,property taxes,7,357,,,,,,,,,,
July,7,2021,9,public meeting,7,357,,,,,,,,,,
July,7,2021,21,public record,7,357,,,,,,,,,,
July,7,2021,21,Public records,7,357,,,,,,,,,,
July,7,2021,8,Public safety,7,357,,,,,,,,,,
July,7,2021,136,Public works,7,357,,,,,,,,,,
July,7,2021,20,public works permits,7,357,,,,,,,,,,
July,7,2021,8,Pump Station,7,357,,,,,,,,,,
July,7,2021,37,purchasing,7,357,,,,,,,,,,
July,7,2021,8,Quit claim deed,7,357,,,,,,,,,,
July,7,2021,10,quitclaim,7,357,,,,,,,,,,
July,7,2021,30,R12,7,357,,,,,,,,,,
July,7,2021,14,r15,7,357,,,,,,,,,,
July,7,2021,10,Ravenwood,7,357,,,,,,,,,,
July,7,2021,8,real estate,7,371,,,,,,,,,,
July,7,2021,8,Real estate taxes,7,371,,,,,,,,,,
July,7,2021,81,Records,7,371,,,,,,,,,,
July,7,2021,8,records request,7,371,,,,,,,,,,
July,7,2021,84,Recycle,7,375,,,,,,,,,,
July,7,2021,9,Recycle center,7,375,,,,,,,,,,
July,7,2021,8,recycle pick up,7,375,,,,,,,,,,
July,7,2021,8,recycle pickup,7,375,,,,,,,,,,
July,7,2021,12,Recycle schedule,7,375,,,,,,,,,,
July,7,2021,184,recycling,7,375,,,,,,,,,,
July,7,2021,8,recycling centers,7,375,,,,,,,,,,
July,7,2021,14,recycling schedule,7,375,,,,,,,,,,
July,7,2021,9,Redistricting,7,375,,,,,,,,,,
July,7,2021,36,register of deeds,7,375,,,,,,,,,,
July,7,2021,11,Registrar of Deeds,7,375,,,,,,,,,,
July,7,2021,9,Rent,7,375,,,,,,,,,,
July,7,2021,13,Rent assistance,7,387,,,,,,,,,,
July,7,2021,32,rental assistance,7,387,,,,,,,,,,
July,7,2021,32,Report,7,387,,,,,,,,,,
July,7,2021,11,report accident,7,387,,,,,,,,,,
July,7,2021,11,report an accident,7,387,,,,,,,,,,
July,7,2021,12,Reports,7,387,,,,,,,,,,
July,7,2021,22,Retirement,7,387,,,,,,,,,,
July,7,2021,8,rezoning,7,394,,,,,,,,,,
July,7,2021,19,rfp,7,394,,,,,,,,,,
July,7,2021,12,rfq,7,394,,,,,,,,,,
July,7,2021,14,riverfront park,7,394,,,,,,,,,,
July,7,2021,31,road closures,7,394,,,,,,,,,,
July,7,2021,10,ron johnson,7,394,,,,,,,,,,
July,7,2021,9,rs10,7,394,,,,,,,,,,
July,7,2021,8,ryan white,7,394,,,,,,,,,,
July,7,2021,12,Sabrina brewer,7,394,,,,,,,,,,
July,7,2021,46,salaries,7,394,,,,,,,,,,
July,7,2021,68,salary,7,404,,,,,,,,,,
July,7,2021,27,salary system,7,404,,,,,,,,,,
July,7,2021,32,Search Nashville.gov,7,404,,,,,,,,,,
July,7,2021,32,self service,7,404,,,,,,,,,,
July,7,2021,8,self service portal,7,404,,,,,,,,,,
July,7,2021,8,Semi trucks parked in neighborhoods,7,404,,,,,,,,,,
July,7,2021,14,Setback,7,404,,,,,,,,,,
July,7,2021,9,sevier park,7,404,,,,,,,,,,
July,7,2021,9,Sevier park community center,7,404,,,,,,,,,,
July,7,2021,16,sewer,7,413,,,,,,,,,,
July,7,2021,10,Sewer map,7,413,,,,,,,,,,
July,7,2021,9,sex offenders,7,413,,,,,,,,,,
July,7,2021,9,Shawna Rodriguez,7,413,,,,,,,,,,
July,7,2021,12,sheriff,7,413,,,,,,,,,,
July,7,2021,33,Short term rental,7,413,,,,,,,,,,
July,7,2021,9,short term rental permit,7,413,,,,,,,,,,
July,7,2021,17,short term rentals,7,413,,,,,,,,,,
July,7,2021,14,Shot records,7,413,,,,,,,,,,
July,7,2021,20,shred,7,413,,,,,,,,,,
July,7,2021,8,sign ordinance,7,413,,,,,,,,,,
July,7,2021,76,simple search,7,424,,,,,,,,,,
July,7,2021,8,small business,7,424,,,,,,,,,,
July,7,2021,8,snap,7,424,,,,,,,,,,
July,7,2021,13,Social security,7,424,,,,,,,,,,
July,7,2021,23,social services,7,424,,,,,,,,,,
July,7,2021,9,solid waste,7,424,,,,,,,,,,
July,7,2021,9,special event permit,7,424,,,,,,,,,,
July,7,2021,10,Staff,7,424,,,,,,,,,,
July,7,2021,17,staff directory,7,432,,,,,,,,,,
July,7,2021,16,Std,7,432,,,,,,,,,,
July,7,2021,12,Std testing,7,432,,,,,,,,,,
July,7,2021,12,storm water,7,432,,,,,,,,,,
July,7,2021,34,stormwater,7,432,,,,,,,,,,
July,7,2021,10,STREET LIGHT,7,432,,,,,,,,,,
July,7,2021,20,strp,7,432,,,,,,,,,,
July,7,2021,37,summer programs,7,432,,,,,,,,,,
July,7,2021,10,surplus,7,432,,,,,,,,,,
July,7,2021,56,Tag Renewal,7,441,,,,,,,,,,
July,7,2021,46,tags,7,441,,,,,,,,,,
July,7,2021,12,tax,7,441,,,,,,,,,,
July,7,2021,44,Tax assessor,7,441,,,,,,,,,,
July,7,2021,14,Tax lien,7,441,,,,,,,,,,
July,7,2021,11,Tax liens,7,441,,,,,,,,,,
July,7,2021,15,taxes,7,441,,,,,,,,,,
July,7,2021,34,tickets,7,448,,,,,,,,,,
July,7,2021,17,Traffic accidents,7,448,,,,,,,,,,
July,7,2021,27,Traffic calming,7,448,,,,,,,,,,
July,7,2021,11,traffic tickets,7,448,,,,,,,,,,
July,7,2021,12,Transmitted disease pamphlets,7,448,,,,,,,,,,
July,7,2021,18,transpotainment,7,448,,,,,,,,,,
July,7,2021,196,Trash,7,448,,,,,,,,,,
July,7,2021,12,Trash can,7,448,,,,,,,,,,
July,7,2021,15,Trash cans,7,448,,,,,,,,,,
July,7,2021,54,Trash collection,7,448,,,,,,,,,,
July,7,2021,33,trash collection schedule,7,458,,,,,,,,,,
July,7,2021,80,Trash pick up,7,458,,,,,,,,,,
July,7,2021,19,trash pick up schedule,7,458,,,,,,,,,,
July,7,2021,103,trash pickup,7,458,,,,,,,,,,
July,7,2021,27,Trash pickup schedule,7,458,,,,,,,,,,
July,7,2021,22,trash schedule,7,458,,,,,,,,,,
July,7,2021,9,travel,7,458,,,,,,,,,,
July,7,2021,9,Trees,7,458,,,,,,,,,,
July,7,2021,53,trustee,7,458,,,,,,,,,,
July,7,2021,48,unemployment,7,467,,,,,,,,,,
July,7,2021,8,value of property,7,467,,,,,,,,,,
July,7,2021,16,vehicle registration,7,467,,,,,,,,,,
July,7,2021,10,vendor,7,467,,,,,,,,,,
July,7,2021,17,vital records,7,467,,,,,,,,,,
July,7,2021,11,volunteer,7,467,,,,,,,,,,
July,7,2021,11,voter registration,7,467,,,,,,,,,,
July,7,2021,14,Voya,7,467,,,,,,,,,,
July,7,2021,48,warrant,7,467,,,,,,,,,,
July,7,2021,9,warrant division,7,467,,,,,,,,,,
July,7,2021,71,warrants,7,467,,,,,,,,,,
July,7,2021,44,waste,7,467,,,,,,,,,,
July,7,2021,10,WASTE DISPOSAL,7,467,,,,,,,,,,
July,7,2021,13,Waste supervisor,7,467,,,,,,,,,,
July,7,2021,90,water,7,467,,,,,,,,,,
July,7,2021,31,water bill,7,482,,,,,,,,,,
July,7,2021,8,water department,7,482,,,,,,,,,,
July,7,2021,63,water quality,7,482,,,,,,,,,,
July,7,2021,49,water services,7,482,,,,,,,,,,
July,7,2021,24,wave country,7,482,,,,,,,,,,
